Python_Function,Description,Unit Test Cases
"def remove_whitespace(s): return s.replace("" "", """")","Removes all whitespace from a string.

This function removes all spaces from the string s and returns the result. It uses the replace() method to achieve this.",def test_remove_whitespace(): assert remove_whitespace("hello world") == "helloworld" assert remove_whitespace(" a b ") == "ab" assert remove_whitespace("") == ""
def find_largest_in_nested_lists(lst): return max(max(sublist) for sublist in lst if sublist),"Finds the largest element in nested lists.

This function takes a list of lists lst and returns the largest element from all sublists. It skips any empty sublists.","def test_find_largest_in_nested_lists(): assert find_largest_in_nested_lists([[1, 2], [3, 4]]) == 4 assert find_largest_in_nested_lists([[], [7, 8]]) == 8 assert find_largest_in_nested_lists([[5], [2, 3]]) == 5"
def reverse_words_in_sentence(s): return ' '.join(reversed(s.split())),"Reverses the words in a sentence.

This function takes a string s, splits it into words, reverses the order of the words, and joins them back into a string.",def test_reverse_words_in_sentence(): assert reverse_words_in_sentence("hello world") == "world hello" assert reverse_words_in_sentence("is fun") == "fun is Python" assert reverse_words_in_sentence("") == ""
def factorial(n): return 1 if n == 0 else n * factorial(n - 1),"Computes the factorial of a number.

This function computes the factorial of a given non-negative integer n using recursion. The factorial is the product of all integers from 1 to n.",def test_factorial(): assert factorial(5) == 120 assert factorial(0) == 1 assert factorial(3) == 6
def reverse_string(s): return s[::-1],"Reverses a string.

This function takes a string s and returns a new string with the characters in reverse order using slicing.",def test_reverse_string(): assert reverse_string("hello") == "olleh" assert reverse_string("") == "" assert reverse_string("Python") == "nohtyP"
def check_palindrome(s): return s == s[::-1],"Checks if a string is a palindrome.

This function checks if a string s is a palindrome. A palindrome is a string that reads the same forwards and backwards.",def test_check_palindrome(): assert check_palindrome("racecar") assert not check_palindrome("hello") assert check_palindrome("madam")
"def is_prime(n): if n <= 1: return False for i in range(2, int(n ** 0.5) + 1): if n % i == 0: return False return True","Checks if a number is prime.

This function checks if a given number n is a prime number. A prime number is greater than 1 and divisible only by 1 and itself.",def test_is_prime(): assert is_prime(7) assert not is_prime(9) assert not is_prime(1)
def sum_of_squares(lst): return sum(x ** 2 for x in lst),"Computes the sum of squares of a list of numbers.

This function takes a list of numbers lst and returns the sum of the squares of its elements.","def test_sum_of_squares(): assert sum_of_squares([1, 2, 3]) == 14 assert sum_of_squares([0]) == 0 assert sum_of_squares([-1, -2]) == 5"
def reverse_list(lst): return lst[::-1],"Reverses a list.

This function takes a list lst and returns a new list with the elements in reverse order using slicing.","def test_reverse_list(): assert reverse_list([1, 2, 3]) == [3, 2, 1] assert reverse_list([]) == [] assert reverse_list([4, 5]) == [5, 4]"
"def gcd(a, b): while b: a, b = b, a % b return a","Computes the greatest common divisor of two numbers.

This function uses the Euclidean algorithm to find the greatest common divisor (GCD) of two non-negative integers a and b. The GCD is the largest positive integer that divides both numbers without leaving a remainder.","def test_gcd(): assert gcd(8, 12) == 4 assert gcd(10, 5) == 5 assert gcd(7, 3) == 1"
"def fibonacci(n): a, b = 0, 1 for _ in range(n): a, b = b, a + b return a","Returns the nth Fibonacci number.

This function calculates the nth Fibonacci number using an iterative approach. The Fibonacci sequence is defined as: F(0) = 0, F(1) = 1, F(n) = F(n-1) + F(n-2) for n >= 2.",def test_fibonacci(): assert fibonacci(0) == 0 assert fibonacci(1) == 1 assert fibonacci(5) == 5
def find_max(lst): return max(lst),"Returns the maximum value in a list.

This function takes a list lst and returns the maximum value using Python's built-in max() function.","def test_find_max(): assert find_max([1, 2, 3]) == 3 assert find_max([4, 0, -1]) == 4 assert find_max([0]) == 0"
"def is_anagram(str1, str2): return sorted(str1) == sorted(str2)","Checks if two strings are anagrams.

This function takes two strings str1 and str2 and checks if they are anagrams by comparing their sorted characters. An anagram is a word formed by rearranging the letters of another word.","def test_is_anagram(): assert is_anagram(""listen"", ""silent"") assert not is_anagram(""hello"", ""world"") assert is_anagram(""evil"", ""vile"")"
"def is_substring(sub, main): return sub in main","Checks if a string is a substring of another string.

This function takes two strings sub and main and checks if sub is a substring of main. It returns True if sub is found within main, otherwise False.","def test_is_substring(): assert is_substring(""cat"", ""concatenate"") assert not is_substring(""dog"", ""concatenate"") assert is_substring("""", ""empty"")"
def remove_duplicates(lst): return list(set(lst)),"Removes duplicates from a list.

This function takes a list lst and returns a new list with all duplicate elements removed by converting the list to a set and back to a list.","def test_remove_duplicates(): assert remove_duplicates([1, 1, 2]) == [1, 2] assert remove_duplicates([]) == [] assert remove_duplicates([3, 3, 3]) == [3]"
def find_second_largest(lst): return sorted(set(lst))[-2],"Finds the second-largest element in a list.

This function takes a list lst, removes duplicates, sorts the list, and returns the second-largest element. Assumes the list has at least two unique elements.","def test_find_second_largest(): assert find_second_largest([3, 1, 2, 4]) == 3 assert find_second_largest([10, 10, 5, 7]) == 7 assert find_second_largest([1, 2]) == 1"
def count_vowels(s): return sum(1 for char in s if char.lower() in 'aeiou'),"Counts the number of vowels in a string.

This function takes a string s and counts the number of vowels (a, e, i, o, u) in it, returning the total count.",def test_count_vowels(): assert count_vowels("hello") == 2 assert count_vowels("xyz") == 0 assert count_vowels("aeiou") == 5
def is_even(n): return n % 2 == 0,"Checks if a number is even.

This function checks whether the integer n is even by returning True if n is divisible by 2, otherwise False.",def test_is_even(): assert is_even(4) assert not is_even(7) assert is_even(0)
"def sum_of_multiples(limit, multiple): return sum(i for i in range(multiple, limit, multiple))","Sums multiples of a number up to a limit.

This function takes a limit and a multiple, and returns the sum of all multiples of the given number up to but not including the limit.","def test_sum_of_multiples(): assert sum_of_multiples(10, 3) == 18 assert sum_of_multiples(20, 5) == 30 assert sum_of_multiples(10, 7) == 7"
def remove_punctuation(s): return ''.join(char for char in s if char.isalnum() or char.isspace()),"Removes punctuation from a string.

This function removes punctuation characters from the string s by keeping only alphanumeric characters and spaces.","def test_remove_punctuation(): assert remove_punctuation(""Hello, world!"") == ""Hello world"" assert remove_punctuation(""What's up?"") == ""Whats up"" assert remove_punctuation("""") == """""
def sum_of_odd_numbers(lst): return sum(x for x in lst if x % 2 != 0),"Sums the odd numbers in a list.

This function takes a list of integers lst and returns the sum of all odd numbers in the list.","def test_sum_of_odd_numbers(): assert sum_of_odd_numbers([1, 2, 3, 4]) == 4 assert sum_of_odd_numbers([6, 8, 10]) == 0 assert sum_of_odd_numbers([7, 7, 7]) == 21"
def is_palindrome_number(n): return str(n) == str(n)[::-1],"Checks if a number is a palindrome.

This function converts a number n to a string and checks if it reads the same forwards and backwards, returning True if it is a palindrome.",def test_is_palindrome_number(): assert is_palindrome_number(121) assert not is_palindrome_number(123) assert is_palindrome_number(0)
"def factorial_iterative(n): result = 1 for i in range(2, n+1): result *= i return result","Computes the factorial of a number iteratively.

This function calculates the factorial of a non-negative integer n using an iterative approach. The factorial is the product of all positive integers from 1 to n.",def test_factorial_iterative(): assert factorial_iterative(5) == 120 assert factorial_iterative(0) == 1 assert factorial_iterative(3) == 6
def sum_of_cubes(lst): return sum(x ** 3 for x in lst),"Sums the cubes of numbers in a list.

This function takes a list of integers lst and returns the sum of the cubes of its elements.","def test_sum_of_cubes(): assert sum_of_cubes([1, 2, 3]) == 36 assert sum_of_cubes([0]) == 0 assert sum_of_cubes([-1, -2]) == -9"
"def binary_search(lst, target): low, high = 0, len(lst) - 1 while low <= high: mid = (low + high) // 2 if lst[mid] == target: return mid elif lst[mid] < target: low = mid + 1 else: high = mid - 1 return -1","Performs binary search on a sorted list.

This function implements binary search to find the index of target in a sorted list lst. If the target is found, the index is returned; otherwise, -1 is returned.","python def test_binary_search(): assert binary_search([1, 2, 3, 4, 5], 3) == 2 assert binary_search([10, 20, 30], 25) == -1 assert binary_search([1, 3, 5, 7], 7) == 3"
def count_consonants(s): return sum(1 for char in s if char.lower() in 'bcdfghjklmnpqrstvwxyz'),"Counts the consonants in a string.

This function takes a string s and counts the number of consonants in it, returning the total count. Consonants are non-vowel letters of the alphabet.",def test_count_consonants(): assert count_consonants("hello") == 3 assert count_consonants("xyz") == 3 assert count_consonants("aeiou") == 0
def square_numbers(lst): return [x ** 2 for x in lst],"Squares every number in a list.

This function takes a list lst and returns a new list where each element is squared.","def test_square_numbers(): assert square_numbers([1, 2, 3]) == [1, 4, 9] assert square_numbers([0, -1]) == [0, 1] assert square_numbers([]) == []"
def is_sorted(lst): return lst == sorted(lst),"Checks if a list is sorted.

This function checks whether the list lst is sorted in ascending order. It returns True if the list is sorted, otherwise False.","def test_is_sorted(): assert is_sorted([1, 2, 3]) assert not is_sorted([3, 1, 2]) assert is_sorted([])"
"def count_occurrences(lst, value): return lst.count(value)","Counts occurrences of a value in a list.

This function takes a list lst and a value value, and returns the number of times the value occurs in the list using the count() method.","def test_count_occurrences(): assert count_occurrences([1, 2, 3, 1], 1) == 2 assert count_occurrences([4, 5, 6], 7) == 0 assert count_occurrences([], 1) == 0"
def is_leap_year(year): return year % 4 == 0 and (year % 100 != 0 or year % 400 == 0),"Determines if a year is a leap year.

This function checks if a given year is a leap year, returning True if it is and False if it isn't. A leap year is divisible by 4 but not by 100 unless also divisible by 400.",def test_is_leap_year(): assert is_leap_year(2000) assert not is_leap_year(1900) assert is_leap_year(2024)
"def product_of_list(lst): from functools import reduce return reduce(lambda x, y: x * y, lst, 1)","Calculates the product of all elements in a list.

This function computes the product of all elements in a list lst using the reduce() function. If the list is empty, it returns 1.","def test_product_of_list(): assert product_of_list([1, 2, 3]) == 6 assert product_of_list([4, 5]) == 20 assert product_of_list([]) == 1"
def capitalize_words(s): return ' '.join(word.capitalize() for word in s.split()),"Capitalizes the first letter of each word in a string.

This function takes a string s and returns a new string with each word capitalized, preserving the original word order.",def test_capitalize_words(): assert capitalize_words("hello world") == "Hello World" assert capitalize_words("code") == "Code" assert capitalize_words("") == ""
def flatten_list(nested_list): return [item for sublist in nested_list for item in sublist],"Flattens a nested list.

This function takes a nested list nested_list (a list of lists) and flattens it into a single list by iterating over each sublist.","def test_flatten_list(): assert flatten_list([[1, 2], [3, 4]]) == [1, 2, 3, 4] assert flatten_list([[]]) == [] assert flatten_list([[5], [6, 7]]) == [5, 6, 7]"
def remove_whitespace(s): return s.strip(),"Removes leading and trailing whitespace from a string.

This function removes any leading or trailing whitespace characters from the string s using the strip() method.",def test_remove_whitespace(): assert remove_whitespace(" hello ") == "hello" assert remove_whitespace("world") == "world" assert remove_whitespace(" ") == ""
def last_element(lst): return lst[-1] if lst else None,"Returns the last element of a list or None if the list is empty.

This function returns the last element of the list lst. If the list is empty, it returns None.","def test_last_element(): assert last_element([1, 2, 3]) == 3 assert last_element([]) is None assert last_element([7]) == 7"
def count_uppercase(s): return sum(1 for char in s if char.isupper()),"Counts uppercase letters in a string.

This function takes a string s and returns the number of uppercase letters in it. It iterates through each character and checks if it is uppercase.",def test_count_uppercase(): assert count_uppercase("Hello") == 1 assert count_uppercase("WORLD") == 5 assert count_uppercase("python") == 0
"def rotate_list(lst, k): return lst[k:] + lst[:k]","Rotates a list by k positions.

This function rotates the list lst by k positions. The first k elements are moved to the end of the list, and the remaining elements are shifted to the front.","def test_rotate_list(): assert rotate_list([1, 2, 3, 4], 2) == [3, 4, 1, 2] assert rotate_list([1], 1) == [1] assert rotate_list([], 3) == []"
def reverse_sentence(s): return ' '.join(reversed(s.split())),"Reverses the order of words in a sentence.

This function takes a sentence s and returns a new sentence with the words in reverse order while preserving the words themselves.",def test_reverse_sentence(): assert reverse_sentence("hello world") == "world hello" assert reverse_sentence("a b c") == "c b a" assert reverse_sentence("") == ""
def average_of_list(lst): return sum(lst) / len(lst) if lst else 0,"Calculates the average of a list of numbers.

This function computes the average (mean) of the numbers in the list lst. If the list is empty, it returns 0.","def test_average_of_list(): assert average_of_list([1, 2, 3]) == 2 assert average_of_list([0, 10]) == 5 assert average_of_list([]) == 0"
def reverse_each_word(s): return ' '.join(word[::-1] for word in s.split()),"Reverses each word in a sentence.

This function takes a string s and reverses each word individually, while preserving the order of words in the sentence.",def test_reverse_each_word(): assert reverse_each_word("hello world") == "olleh dlrow" assert reverse_each_word("abc def") == "cba fed" assert reverse_each_word("") == ""
def middle_element(lst): n = len(lst) return lst[n//2] if n % 2 == 1 else None,"Returns the middle element of a list, if it exists.

This function returns the middle element of the list lst if the list has an odd number of elements. If the list has an even number of elements or is empty, it returns None.","def test_middle_element(): assert middle_element([1, 2, 3]) == 2 assert middle_element([1, 2, 3, 4]) is None assert middle_element([5]) == 5"
"def multiply_matrix_scalar(matrix, scalar): return [[x * scalar for x in row] for row in matrix]","Multiplies every element in a matrix by a scalar value.

This function takes a matrix (list of lists) and multiplies every element by the scalar value scalar, returning the resulting matrix.","def test_multiply_matrix_scalar(): assert multiply_matrix_scalar([[1, 2], [3, 4]], 2) == [[2, 4], [6, 8]] assert multiply_matrix_scalar([[0]], 10) == [[0]]"
"def longest_word(words): return max(words, key=len) if words else None","Finds the longest word in a list of words.

This function returns the longest word in the list words. If the list is empty, it returns None.","def test_longest_word(): assert longest_word([""hello"", ""world"", ""python""]) == ""python"" assert longest_word([]) is None assert longest_word([""a"", ""ab"", ""abc""]) == ""abc"""
def cube_numbers(lst): return [x ** 3 for x in lst],"Cubes every number in a list.

This function takes a list lst and returns a new list where each element is cubed.","def test_cube_numbers(): assert cube_numbers([1, 2, 3]) == [1, 8, 27] assert cube_numbers([0, -1]) == [0, -1] assert cube_numbers([]) == []"
def string_length(s): return len(s),"Returns the length of a string.

This function returns the number of characters in the string s by using Python's len() function.",def test_string_length(): assert string_length("hello") == 5 assert string_length("") == 0 assert string_length("a") == 1
def is_palindrome(s): return s == s[::-1],"Checks if a string is a palindrome.

This function checks if the string s is the same when read forwards and backwards, returning True if it is a palindrome, and False otherwise.",def test_is_palindrome(): assert is_palindrome("racecar") assert not is_palindrome("hello") assert is_palindrome("a")
def square_root(n): return n ** 0.5,"Computes the square root of a number.

This function returns the square root of the number n using exponentiation. It assumes that n is a non-negative number.",def test_square_root(): assert square_root(4) == 2 assert square_root(9) == 3 assert square_root(0) == 0
def factorial_recursive(n): return 1 if n == 0 else n * factorial_recursive(n-1),"Recursively computes the factorial of a number.

This function calculates the factorial of a non-negative integer n using a recursive approach. The factorial of n is the product of all integers from 1 to n.",def test_factorial_recursive(): assert factorial_recursive(5) == 120 assert factorial_recursive(0) == 1 assert factorial_recursive(3) == 6
"def is_prime(n): if n < 2: return False for i in range(2, int(n ** 0.5) + 1): if n % i == 0: return False return True","Checks if a number is prime.

This function checks whether a number n is prime. A prime number is greater than 1 and divisible only by 1 and itself.",def test_is_prime(): assert is_prime(7) assert not is_prime(4) assert not is_prime(1)
def reverse_list(lst): return lst[::-1],"Reverses a list.

This function takes a list lst and returns a new list where the elements are in reverse order.","def test_reverse_list(): assert reverse_list([1, 2, 3]) == [3, 2, 1] assert reverse_list([]) == [] assert reverse_list([7]) == [7]"
def count_words(s): return len(s.split()),"Counts the number of words in a string.

This function returns the number of words in the string s. It assumes words are separated by whitespace characters.",def test_count_words(): assert count_words("hello world") == 2 assert count_words("one") == 1 assert count_words("") == 0
def find_duplicates(lst): return [x for x in set(lst) if lst.count(x) > 1],"Finds duplicate elements in a list.

This function returns a list of elements that appear more than once in the input list lst, without repeating duplicates in the output.","def test_find_duplicates(): assert find_duplicates([1, 2, 2, 3]) == [2] assert find_duplicates([1, 1, 1]) == [1] assert find_duplicates([4, 5, 6]) == []"
def first_non_repeated_char(s): for char in s: if s.count(char) == 1: return char return None,"Finds the first non-repeated character in a string.

This function returns the first character in the string s that does not repeat. If all characters are repeated, it returns None.",def test_first_non_repeated_char(): assert first_non_repeated_char("swiss") == "w" assert first_non_repeated_char("aabb") is None assert first_non_repeated_char("abcd") == "a"
"def merge_dicts(dict1, dict2): result = dict1.copy() result.update(dict2) return result","Merges two dictionaries.

This function takes two dictionaries dict1 and dict2 and merges them into one dictionary. If there are duplicate keys, the values from dict2 will overwrite those from dict1.","def test_merge_dicts(): assert merge_dicts({""a"": 1}, {""b"": 2}) == {""a"": 1, ""b"": 2} assert merge_dicts({""a"": 1}, {""a"": 3}) == {""a"": 3} assert merge_dicts({}, {}) == {}"
"def list_intersection(lst1, lst2): return list(set(lst1) & set(lst2))","Finds the intersection of two lists.

This function returns a list containing the common elements between two input lists lst1 and lst2, with no duplicates.","def test_list_intersection(): assert list_intersection([1, 2, 3], [2, 3, 4]) == [2, 3] assert list_intersection([5, 6], [6, 7]) == [6] assert list_intersection([], [1, 2]) == []"
